,Date,Open,High,Low,Close
85,2017-05-01,1.08938,1.09233,1.08835,1.08986
86,2017-05-02,1.0899,1.09325,1.08876,1.09315
87,2017-05-03,1.09276,1.09362,1.08823,1.0883
88,2017-05-04,1.0885200000000002,1.09866,1.08742,1.0983
89,2017-05-05,1.0983,1.09986,1.09469,1.09985
90,2017-05-08,1.10154,1.10154,1.09158,1.09218
91,2017-05-09,1.09195,1.09328,1.0863,1.08738
92,2017-05-10,1.08691,1.08975,1.08524,1.08668
93,2017-05-11,1.08675,1.08922,1.08386,1.0859999999999999
94,2017-05-12,1.08623,1.09334,1.0855,1.09301
95,2017-05-15,1.093,1.09891,1.09221,1.09745
96,2017-05-16,1.0976,1.10968,1.09745,1.1082
97,2017-05-17,1.10838,1.11617,1.1079999999999999,1.11596
98,2017-05-18,1.11591,1.11715,1.1075,1.11025
99,2017-05-19,1.11021,1.12113,1.10953,1.12064
100,2017-05-22,1.11963,1.12629,1.11609,1.12369
101,2017-05-23,1.12396,1.12676,1.11746,1.11814
102,2017-05-24,1.1182,1.12195,1.11678,1.1217700000000002
103,2017-05-25,1.12176,1.12495,1.1193,1.12103
104,2017-05-26,1.1207200000000002,1.12341,1.1159999999999999,1.11815
105,2017-05-29,1.1167200000000002,1.11894,1.11612,1.11627
106,2017-05-30,1.11639,1.12047,1.11089,1.11847
107,2017-05-31,1.11863,1.12517,1.1164,1.12421
108,2017-06-01,1.12457,1.12562,1.12015,1.12115
109,2017-06-02,1.12137,1.12847,1.12044,1.12809
110,2017-06-05,1.12703,1.12835,1.12334,1.12535
111,2017-06-06,1.12553,1.12837,1.12399,1.1276700000000002
112,2017-06-07,1.12766,1.12819,1.12036,1.12561
113,2017-06-08,1.12593,1.12687,1.1194,1.12119
114,2017-06-09,1.12244,1.1236,1.11659,1.11954
115,2017-06-12,1.12058,1.12317,1.11915,1.12038
116,2017-06-13,1.12045,1.12241,1.11849,1.12102
117,2017-06-14,1.12081,1.12955,1.11927,1.12178
118,2017-06-15,1.12176,1.12279,1.11316,1.1145200000000002
119,2017-06-16,1.1142299999999998,1.12011,1.1138,1.11941
120,2017-06-19,1.12051,1.12123,1.1142299999999998,1.11477
121,2017-06-20,1.11461,1.11645,1.11184,1.11335
122,2017-06-21,1.11303,1.11685,1.1127,1.11681
123,2017-06-22,1.11671,1.11774,1.11389,1.11509
124,2017-06-23,1.11524,1.12085,1.11447,1.11932
125,2017-06-26,1.11951,1.12194,1.11713,1.11809
126,2017-06-27,1.11805,1.13489,1.11784,1.13368
127,2017-06-28,1.13355,1.13902,1.12908,1.13759
